Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0001,12/11/00,Ath Bilbao,Celta,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
0001,12/11/00,Barcelona,Villarreal,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
0001,12/11/00,Malaga,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,12/11/00,Mallorca,Numancia,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,12/11/00,Oviedo,Sociedad,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,12/11/00,Real Madrid,Las Palmas,5,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,12/11/00,Santander,Osasuna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,12/11/00,Valencia,Vallecano,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
0001,12/11/00,Valladolid,Alaves,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,18/11/00,Alaves,Valencia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,18/11/00,Las Palmas,Mallorca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,18/11/00,Osasuna,La Coruna,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
0001,18/11/00,Villarreal,Real Madrid,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,19/11/00,Celta,Santander,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,19/11/00,Espanol,Ath Bilbao,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,19/11/00,Oviedo,Valladolid,4,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,19/11/00,Sociedad,Numancia,4,1,H,3.0,0.0,H,,,,,,,,,,,,,
0001,19/11/00,Vallecano,Malaga,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
0001,19/11/00,Zaragoza,Barcelona,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,25/11/00,Mallorca,Villarreal,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
0001,26/11/00,Ath Bilbao,Vallecano,4,2,H,3.0,1.0,H,,,,,,,,,,,,,
0001,26/11/00,Barcelona,Osasuna,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,26/11/00,La Coruna,Celta,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,26/11/00,Malaga,Alaves,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,26/11/00,Numancia,Las Palmas,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
0001,26/11/00,Santander,Espanol,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,26/11/00,Valencia,Oviedo,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,26/11/00,Valladolid,Sociedad,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
0001,02/12/00,Celta,Barcelona,3,3,D,3.0,1.0,H,,,,,,,,,,,,,
0001,02/12/00,Espanol,La Coruna,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
0001,02/12/00,Osasuna,Real Madrid,2,3,A,1.0,1.0,D,,,,,,,,,,,,,
0001,02/12/00,Vallecano,Santander,4,1,H,1.0,1.0,D,,,,,,,,,,,,,
0001,02/12/00,Valladolid,Valencia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,03/12/00,Alaves,Ath Bilbao,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
0001,03/12/00,Oviedo,Malaga,3,2,H,1.0,2.0,A,,,,,,,,,,,,,
0001,03/12/00,Sociedad,Las Palmas,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,03/12/00,Villarreal,Numancia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,03/12/00,Zaragoza,Mallorca,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,09/12/00,Las Palmas,Villarreal,1,5,A,0.0,2.0,A,,,,,,,,,,,,,
0001,09/12/00,Numancia,Zaragoza,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
0001,09/12/00,Valencia,Sociedad,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,10/12/00,Ath Bilbao,Oviedo,4,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,10/12/00,Barcelona,Espanol,4,2,H,2.0,0.0,H,,,,,,,,,,,,,
